Subclass,Order,Superfamily,Family,Species_ID,Biovolume_mm3,Genus,Species,B0 Order
Heterodonta,Veneroida,Lucinoidea,Lucinidae,Luc58,93345.11356,Lucinidae,Lucinidae sp.,0.42
Heterodonta,Veneroida,Lucinoidea,Lucinidae,Luc59,93345.11356,Lucinidae,Lucinidae sp. 280,0.42
Heterodonta,Veneroida,Lucinoidea,Lucinidae,Luc51,181917.9619,Lucinoma,Lucinoma filosa,0.42
Heterodonta,Veneroida,Lucinoidea,Lucinidae,Luc34,4772.265255,Myrteopsis,Myrteopsis lens,0.42
Heterodonta,Veneroida,Mactroidea,Mactridae,Mac40,908280,Mactridae,Mactridae sp. ,0.42
Heterodonta,Veneroida,Galeommatoidea,Montacutidae,Mon7,164.11,Montacutidae,Montacutidae sp.,0.42
Heterodonta,Veneroida,Cyamioidea,Neoleptonidae,Neo19,11.49729359,Neolepton,Neolepton sp. 246,0.42
Heterodonta,Veneroida,Cyamioidea,Neoleptonidae,Neo4,11.49729359,Neolepton,Neolepton profundorum,0.42
Heterodonta,Veneroida,Tellinoidea,Semelidae,Sem23,3480.307832,Abra,Abra longicallus,0.42
Heterodonta,Veneroida,Tellinoidea,Semelidae,Sem7,7811.555556,Abra,Abra profundorum,0.42
Heterodonta,Veneroida,Tellinoidea,Tellinidae,Tel107,164.11,Tellinidae,Tellinidae sp. a,0.42
Heterodonta,Veneroida,Tellinoidea,Tellinidae,Tel108,164.11,Tellinidae,Tellinidae sp. b,0.42
Heterodonta,Veneroida,Tellinoidea,Tellinidae,Tel109,164.11,Tellinidae,Tellinidae sp. c,0.42
Heterodonta,Veneroida,Tellinoidea,Tellinidae,Tel110,164.11,Tellinidae,Tellinidae sp. d,0.42
Heterodonta,Veneroida,Tellinoidea,Tellinidae,Tel113,164.11,Tellinidae,Tellinidae sp. f,0.42
Heterodonta,Veneroida,Tellinoidea,Tellinidae,Tel114,164.11,Tellinidae,Tellinidae sp. x,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy56,26.39476331,Axinodon,Axinodon symmetros,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy105,61.72899541,Axinulus,Axinulus incrassatus,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy37,1643.314484,Axinus,Axinus grandis,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy11,65.37309091,Mendicula,Mendicula ferruginosa,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy100,61.72899541,Thyasira,Thyasira sp. 346b,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy101,61.72899541,Thyasira,Thyasira sp. 346c,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy103,61.72899541,Thyasira,Thyasira sp. S50,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy106,61.72899541,Thyasira,Thyasira robusta,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy107,61.72899541,Thyasira,Thyasira hydroida,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy108,61.72899541,Thyasira,Thyasira intermedius,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy110,61.72899541,Thyasira,Thyasira sp.,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy111,61.72899541,Thyasira,Thyasira sp. 188a,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy112,61.72899541,Thyasira,Thyasira sp. 2,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy12,4.136773459,Thyasira,Thyasira alleni,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy13,24.78635013,Thyasira,Thyasira brevis,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy14,3.106062789,Thyasira,Thyasira carrozae,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy15,6.730955739,Thyasira,Thyasira croulinensis,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy16,8.849600353,Thyasira,Thyasira eumyaria,0.42
